,Unnamed: 0,product_ndc,API,searched_API,Dosage_strength,Dosage_form,strength_num,Strength_unit,per_unit,strength_in_mg,unit_in_mg,strength_in_mg_per_1unit,is_tablet
0,0,0378-6333,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
1,1,42291-104,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
2,2,68382-569,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
3,3,60687-121,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
4,4,0093-5352,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
7,7,70771-1057,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
9,9,68462-435,ACAMPROSATE CALCIUM,acamprosate,333 mg/1,"TABLET, DELAYED RELEASE",333.0,mg,1,333.0,1.0,333.0,True
12,15,55670-150,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
13,16,61245-175,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
16,19,68001-495,ACETAMINOPHEN,acetaminophen,650 mg/1,TABLET,650.0,mg,1,650.0,1.0,650.0,True
17,20,68998-323,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
19,22,69842-915,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
20,23,0603-2544,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
22,25,41250-227,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
24,28,51862-538,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
25,30,55301-527,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
26,31,59779-374,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
27,32,61245-176,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
28,33,63824-670,ACETAMINOPHEN,acetaminophen,162.5 mg/1,"TABLET, COATED",162.5,mg,1,162.5,1.0,162.5,True
34,41,51862-540,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
35,42,55670-467,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
37,44,61919-524,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
38,46,67296-1425,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
39,48,68210-3100,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
40,49,70000-0180,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
42,51,71335-1522,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
43,52,71399-8022,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
44,53,0067-8201,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
46,57,0135-0607,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
47,58,50844-751,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
50,62,55670-468,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
52,64,68016-636,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
53,65,0363-0760,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
54,67,71335-0722,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
55,69,0924-0123,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
56,73,30142-157,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
57,74,0113-7272,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
58,75,50268-400,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
59,76,50594-019,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
60,77,53943-228,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
61,78,55959-132,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
62,79,59779-275,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
63,80,59779-762,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
66,84,63941-503,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
67,85,0363-0586,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
68,86,69729-222,PHENYLEPHRINE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
69,88,73057-350,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
72,91,0904-7093,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
74,96,50268-401,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
75,97,55959-133,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
76,98,55700-679,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
77,100,57243-466,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
78,101,63868-792,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
80,104,66715-5744,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
81,105,68788-9968,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
82,106,68998-128,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
83,108,69729-223,PHENYLEPHRINE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
84,109,69842-572,DIPHENHYDRAMINE HYDROCHLORIDE,acetaminophen,25 mg/1,"TABLET, FILM COATED",25.0,mg,1,25.0,1.0,25.0,True
85,110,73057-352,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
86,111,10267-5511,PAMABROM,acetaminophen,25 mg/1,"TABLET, FILM COATED",25.0,mg,1,25.0,1.0,25.0,True
89,116,50268-402,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
90,117,55959-171,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
91,118,55319-625,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
92,120,63481-623,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
93,121,68071-4656,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
94,122,71335-0960,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
95,123,73057-353,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
99,129,37012-437,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
100,131,46122-690,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
101,132,49638-103,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, DELAYED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
103,134,59779-766,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
104,137,64092-122,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
105,138,68071-4657,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
106,139,67296-0589,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
107,140,0527-1669,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
110,145,49638-104,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, DELAYED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
112,147,55154-7897,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
114,150,62011-0336,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
115,151,63481-627,OXYCODONE HYDROCHLORIDE,acetaminophen,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
116,152,67296-1377,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
120,159,50090-2156,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
121,160,61919-484,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
122,161,62011-0337,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
123,162,63481-628,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
124,163,63941-519,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
125,164,65131-111,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
126,165,69729-322,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
127,166,71205-165,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
128,167,71930-042,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
